ID,Latitude,Longitude,Day,Hour,Minute,Duration,RemainingTime,Resources,Coverage,Legitimacy,OnPeakHours,GridNumber
1,48.486143617748,-81.0797063312734,1,23,52,50,50,8,86,1,0,360278
1,48.4855739242204,-81.0794112505824,2,0,2,50,40,8,86,1,0,360278
1,48.4855739241918,-81.0793300843622,2,0,12,50,30,8,86,1,0,360278
1,48.4854316082689,-81.0795368206961,2,0,22,50,20,8,86,1,0,360278
1,48.4852287964118,-81.0794257795204,2,0,32,50,10,8,86,1,0,360278
2,48.5236435624388,-81.046790293125,2,20,8,20,20,4,54,1,0,426634
2,48.5234106402546,-81.0467596158565,2,20,18,20,10,4,54,1,0,426634
3,48.4738091467464,-81.1778771061912,3,17,59,60,60,8,95,1,0,341308
3,48.4744072968901,-81.1780683188208,3,18,9,60,50,8,95,1,0,341308
3,48.4749346096305,-81.1778409132175,3,18,19,60,40,8,95,1,0,341308
3,48.4752106746581,-81.1777825616394,3,18,29,60,30,8,95,1,0,341308
3,48.475612488098,-81.1785288385077,3,18,39,60,20,8,95,1,0,341308
3,48.4752367544829,-81.1792022850905,3,18,49,60,10,8,95,1,0,341308
4,48.3125986307809,-81.485937116286,4,20,40,60,60,8,78,1,0,56903
4,48.3131056114512,-81.4854244596357,4,20,50,60,50,8,78,1,0,56903
4,48.3127608648986,-81.4850350045601,4,21,0,60,40,8,78,1,0,56903
4,48.3124277988985,-81.4858038704509,4,21,10,60,30,8,78,1,0,56903
4,48.312337867689,-81.4855703579452,4,21,20,60,20,8,78,1,0,56903
4,48.3120468445026,-81.4852533824249,4,21,30,60,10,8,78,1,0,56903
5,48.4158033712733,-81.5770997562603,0,15,14,60,60,6,94,0,0,236993
5,48.415827024709,-81.5770269043823,0,15,24,60,50,6,94,0,0,236993
5,48.4157286404319,-81.5778650519425,0,15,34,60,40,6,94,0,0,236993
5,48.4151548391749,-81.5780325986088,0,15,44,60,30,6,94,0,0,236993
5,48.4149929909827,-81.5780368423612,0,15,54,60,20,6,94,0,0,236993
5,48.4154785149502,-81.5778950712052,0,16,4,60,10,6,94,0,0,236993
6,48.6100006150323,-81.2080769086939,4,3,25,20,20,3,44,1,0,578280
6,48.6101708248208,-81.2080544523105,4,3,35,20,10,3,44,1,0,578280
7,48.4558540520671,-81.4786099965942,2,8,21,60,60,5,60,1,1,303357
7,48.4561308517989,-81.4781478240831,2,8,31,60,50,5,60,1,1,303357
7,48.4564345856376,-81.4784114633062,2,8,41,60,40,5,60,1,1,312836
7,48.4568814671116,-81.4785665724614,2,8,51,60,30,5,60,1,1,312836
7,48.4568675720947,-81.4786013393603,2,9,1,60,20,5,60,1,1,312836
7,48.4567708121906,-81.4785704186206,2,9,11,60,10,5,60,1,1,312836
8,48.3337437174224,-81.4915902467874,0,18,35,50,50,6,86,1,0,94818
8,48.3336221393727,-81.4918412132447,0,18,45,50,40,6,86,1,0,94818
8,48.3333599336082,-81.4915339775466,0,18,55,50,30,6,86,1,0,94818
8,48.3336946079445,-81.4918986536719,0,19,5,50,20,6,86,1,0,94818
8,48.3336946079446,-81.4918986536719,0,19,15,50,10,6,86,1,0,94818
9,48.4502532025057,-81.5775202302802,3,5,21,30,30,8,47,1,0,293867
9,48.4508785558751,-81.5779000388057,3,5,31,30,20,8,47,1,0,303346
9,48.4512736932257,-81.577499385326,3,5,41,30,10,8,47,1,0,303346
10,48.5162933647947,-81.3792729575977,1,1,29,10,10,2,94,1,0,417117
11,48.4883710611856,-81.7076329765297,2,14,47,50,50,7,58,1,0,360205
11,48.4884850824678,-81.7070347737913,2,14,57,50,40,7,58,1,0,360205
11,48.4886343971937,-81.7076871384786,2,15,7,50,30,7,58,1,0,360205
11,48.488897457363,-81.7082523189466,2,15,17,50,20,7,58,1,0,369684
11,48.4887341501578,-81.7087344797811,2,15,27,50,10,7,58,1,0,360205
12,48.3408161927625,-81.3530812162859,3,10,10,40,40,1,70,1,1,104313
12,48.3405227755236,-81.3532864456825,3,10,20,40,30,1,70,1,1,104313
12,48.3411014584349,-81.3536912082405,3,10,30,40,20,1,70,1,1,104313
12,48.3416169510546,-81.3534097722583,3,10,40,40,10,1,70,1,1,104313
13,48.4953453982871,-81.4163800875498,3,20,20,10,10,8,41,1,0,379197
14,48.3739721741648,-80.8658539243889,0,18,10,60,60,1,51,1,0,161243
14,48.3740278027657,-80.8660964162934,0,18,20,60,50,1,51,1,0,161243
14,48.3738661644651,-80.866667968779,0,18,30,60,40,1,51,1,0,161243
14,48.3733489860393,-80.8660393731908,0,18,40,60,30,1,51,1,0,161243
14,48.3732175192693,-80.8653939671779,0,18,50,60,20,1,51,1,0,161243
14,48.3733951649163,-80.8654361981068,0,19,0,60,10,1,51,1,0,161243
15,48.3949114024898,-81.4450793882437,0,19,20,60,60,10,74,1,0,199092
15,48.395089224579,-81.4449491563367,0,19,30,60,50,10,74,1,0,199092
15,48.3943702254062,-81.4449868575901,0,19,40,60,40,10,74,1,0,199092
15,48.3944375649861,-81.4446931973746,0,19,50,60,30,10,74,1,0,199092
15,48.3942508300893,-81.4449044888595,0,20,0,60,20,10,74,1,0,199092
15,48.3941062670504,-81.4455008757203,0,20,10,60,10,10,74,1,0,199092
16,48.3203210379413,-81.2164602406047,4,3,10,60,60,3,54,1,0,75892
16,48.3198522274106,-81.21611740711,4,3,20,60,50,3,54,1,0,66413
16,48.3198253508182,-81.216113881532,4,3,30,60,40,3,54,1,0,66413
16,48.3198658153031,-81.2161861860463,4,3,40,60,30,3,54,1,0,66413
16,48.3196005172118,-81.2168751457122,4,3,50,60,20,3,54,1,0,66413
16,48.3197496292331,-81.2167243447659,4,4,0,60,10,3,54,1,0,66413
17,48.4541245397278,-81.1828017896012,4,18,46,40,40,6,90,1,0,303392
17,48.4538814978661,-81.182217074518,4,18,56,40,30,6,90,1,0,303392
17,48.4543706110648,-81.1828340723728,4,19,6,40,20,6,90,1,0,303392
17,48.4543259965939,-81.1831791186554,4,19,16,40,10,6,90,1,0,303392
18,48.385938126312,-81.3880735911897,4,22,55,30,30,2,93,1,0,189620
18,48.3858212353549,-81.38807665437,4,23,5,30,20,2,93,1,0,189620
18,48.3852995121763,-81.3883311507764,4,23,15,30,10,2,93,1,0,180141
19,48.555689197019,-81.3439627788834,5,19,37,20,20,10,90,1,0,483474
19,48.5561424835423,-81.3441846422304,5,19,47,20,10,10,90,1,0,483474
20,48.5523865729121,-81.3296680729861,4,15,39,10,10,1,96,1,0,473997
21,48.2814056427374,-81.1251810158226,2,9,11,40,40,9,65,0,1,70
21,48.2815134445206,-81.1246527308469,2,9,21,40,30,9,65,0,1,70
21,48.2816768480669,-81.1247275785389,2,9,31,40,20,9,65,0,1,70
21,48.2815285058708,-81.1247829916218,2,9,41,40,10,9,65,0,1,70
22,48.4651590721368,-81.4254545253436,3,22,51,40,40,4,31,1,0,322322
22,48.4654219642802,-81.4256305264331,3,23,1,40,30,4,31,1,0,322322
22,48.465122352685,-81.4265542101787,3,23,11,40,20,4,31,1,0,322321
22,48.4644099253884,-81.4264036574142,3,23,21,40,10,4,31,1,0,322321
23,48.4497346978527,-81.5579888980277,4,18,32,10,10,4,95,1,0,293869
24,48.2996337502807,-81.1543818329242,2,16,57,40,40,10,31,1,0,37983
24,48.2995586015652,-81.1545160594708,2,17,7,40,30,10,31,1,0,37983
24,48.2994939615356,-81.1545890633746,2,17,17,40,20,10,31,1,0,37983
24,48.2994563372416,-81.1539445592601,2,17,27,40,10,10,31,1,0,37983
25,48.4595953916683,-81.4173223374756,1,10,7,30,30,9,90,1,1,312843
25,48.4593577731378,-81.417033035722,1,10,17,30,20,9,90,1,1,312844
25,48.4594817097968,-81.4163831858407,1,10,27,30,10,9,90,1,1,312844
26,48.3382342359222,-81.1710292224355,4,21,58,10,10,7,61,1,0,104334
27,48.4898742920101,-81.7095760843368,0,14,6,60,60,5,38,1,0,369684
27,48.4897285261496,-81.7104555896491,0,14,16,60,50,5,38,1,0,369683
27,48.4896913400279,-81.7093882792878,0,14,26,60,40,5,38,1,0,369684
27,48.4899186733261,-81.7096752533239,0,14,36,60,30,5,38,1,0,369684
27,48.48951694601,-81.7088434340563,0,14,46,60,20,5,38,1,0,369684
27,48.489430762153,-81.7087457325468,0,14,56,60,10,5,38,1,0,369684
28,48.388371212733,-81.5112861093579,5,15,28,60,60,1,58,1,0,189606
